FIRST SEEN,FILE TYPE,COUNTRY,SIZE,SIGNATURE,SHA256,DELIVERY METHOD
2023-03-23 14:56:18,js,IT,113516,Quakbot,8c5b88b7dcd2e2e3b7653a6b77cab501591c8a2534a6866ec825078fa3423ca1,
2023-03-23 14:56:01,html,IT,3727,Quakbot,f70aa4f1a9f4499abdd2d0bd7ab78186ec93b39a0d746cd18d6dcd3524e29fb1,
2023-03-23 14:55:53,exe,,257024,Smoke Loader,53c917dff75e6d8119759c3fdadf4a42cdfc29802eac12658c46cf684e2a361a,web_download
2023-03-23 14:55:50,exe,,840704,AgentTesla,936cdcfc8c162d9f0d0b0d7bd19fb18d6a495f5acc22d77606904e373948f5a6,web_download
2023-03-23 14:55:40,exe,,257317,Loki,ad2f8e24ee2aae18fc8c64b281fc251801a945afc8ba9c5c9985918302b1881a,web_download
2023-03-23 14:55:24,exe,,161792,AZORult,4be5fa9ac61777638bf7550de77fffee6aa150b0e5c55612753f5fe3d931d885,
2023-03-23 14:54:23,js,,349553,STRRAT,9a0314c8e141bce367640205fbf8b4d9513bf6624b4aed73db98bf97e7148b79,
2023-03-23 14:53:23,vbs,,243414,WSHRAT,6f4e16acaab16780b1ec03d549053980c05966b17b02d4b836240358f283ae57,
2023-03-23 14:53:18,jar,,214319,STRRAT,56839a52e1b4417b4ec48bdac54f2e20ab8dcd9b684cfd2f8a677ee390460087,email_attachment
2023-03-23 14:53:13,jar,,71627,STRRAT,61a4a625537474db032acc1d9db990084b3d31103b06dc4dfadc659e167eb0f9,email_attachment
2023-03-23 14:53:10,exe,,238664,AgentTesla,78b14730a49f89de90127d59fc7118e749d647cfc7ef78c9f820cd46c13dae78,
2023-03-23 14:53:07,exe,,510886,,34d05542d5b1dde781f7d1057c1de7f263de27e55128c332824d3b206b2bfc7c,email_attachment
2023-03-23 14:52:47,exe,,219208,AgentTesla,7ff7885e26b1aadbd22f3d4c2a6e50ebfe67bbb6e01295024ec763f6f3bbd004,
2023-03-23 14:52:43,exe,,1018880,AgentTesla,77c510c2ba89b331dae81cb6d857f1557eceb69ff1a77fcf3e0d00f3514cca90,
2023-03-23 14:50:36,xls,,1157120,Formbook,ad00bf202413a51629e0bf7e0b4d48cdf6a59004dee2cad317d1f01526c5f712,email_attachment
2023-03-23 14:50:30,xls,,1149952,Formbook,ce86ac22bc71fedaacf10e3f1ff4847a398a1e204589d0bfdbe35c26daf63bf3,
2023-03-23 14:50:29,xls,,104448,,fb26c7ef83b4183cdf18d27f0e465fe2bc957fd0bf6f6cd099a8e64da06332d2,email_attachment
2023-03-23 14:50:27,xls,,107008,,7220e36652118083eb851f8f1ed7973ef4526667ef5a05869e330a25183f29d3,email_attachment
2023-03-23 14:50:26,xls,,105984,,503bf8961936fefb5778a07dcc8ca7deab5949d9934a8ee8e610bed1df81a7ba,email_attachment
2023-03-23 14:50:25,xls,,814080,,fad93827600646e38ae35beb340b5e17bb847760aa703684406433e62da85fd2,email_attachment
2023-03-23 14:50:23,xls,,1534464,SnakeKeylogger,a26cf1908d8e2e9ab6e9b3fdf31d6cb5d58d7035374cd513b459a1541cc2fc79,email_attachment
2023-03-23 14:49:39,exe,,256512,Smoke Loader,17f4c1a120bc4656d19ea74e8949701d1cb6429747cd965c55d60f9ff72d0a77,
2023-03-23 14:49:26,exe,,1047040,SnakeKeylogger,41250460b0bd531bfc6dbfd7e442e9039f3041f293591fc283bd831ea1d25dbc,
2023-03-23 14:49:08,exe,,702541,SnakeKeylogger,3b961c415aab8bafde4c9ec0a7d0ac512f4b14bb5a4128de965222d9fc96b178,
2023-03-23 14:48:48,ps1,DE,572,,8493b0e70b6179a76ee3f0e1df5cfaa2a5c4184a75873d8d44be97f8805c1858,
2023-03-23 14:48:44,exe,,922112,SnakeKeylogger,10148fb64ba2a9d9fe2ef5ca3fd2be127b61310def2ad5851e5e3fe2b4684b43,email_attachment
2023-03-23 14:48:41,exe,,792576,SnakeKeylogger,89f3250563d9548740f1682f4f79b7b515e8af4e09a63a868ea53cf59cb90f1a,email_attachment
2023-03-23 14:48:37,exe,,1092096,SnakeKeylogger,e7f3e64f094d2952506148c2b0d6062a73999fb26a2eac49e6698515e3c2156e,email_attachment
2023-03-23 14:48:27,exe,,1163776,SnakeKeylogger,3f380f78cc986824f49f8e5f4a93f6a4fd5355f5086ea15948fbafcb5e7ebc31,email_attachment
